company_id,type,rule_id,text,confidence_pct
ABB,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ABB,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ABB,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
ABB,pro,P08,Consistent dividend yield backed by positive free cash flow,74
ABB,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ABB,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
ABB,con,C00,Continued monitoring of financial and operating performance is warranted,61
ADANIENSOL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIENSOL,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIENSOL,con,C00,Continued monitoring of financial and operating performance is warranted,61
ADANIENT,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIENT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ADANIENT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ADANIENT,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
ADANIENT,con,C00,Continued monitoring of financial and operating performance is warranted,61
ADANIGREEN,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIGREEN,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIGREEN,con,C01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring,88
ADANIPORTS,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIPORTS,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPORTS,pro,P08,Consistent dividend yield backed by positive free cash flow,74
ADANIPORTS,con,C00,Continued monitoring of financial and operating performance is warranted,61
ADANIPOWER,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ADANIPOWER,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ADANIPOWER,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPOWER,con,C00,Continued monitoring of financial and operating performance is warranted,61
AMBUJACEM,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
AMBUJACEM,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years suggests limited business momentum,72
APOLLOHOSP,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
APOLLOHOSP,pro,P08,Consistent dividend yield backed by positive free cash flow,74
APOLLOHOSP,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
APOLLOHOSP,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
APOLLOHOSP,con,C00,Continued monitoring of financial and operating performance is warranted,61
ASIANPAINT,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
ASIANPAINT,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ASIANPAINT,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
ASIANPAINT,pro,P08,Consistent dividend yield backed by positive free cash flow,74
ASIANPAINT,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ASIANPAINT,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
ASIANPAINT,con,C00,Continued monitoring of financial and operating performance is warranted,61
ATGL,pro,P04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ATGL,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ATGL,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
ATGL,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
ATGL,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
ATGL,con,C00,Continued monitoring of financial and operating performance is warranted,61
AXISBANK,pro,P05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
AXISBANK,pro,P06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
AXISBANK,pro,P09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80
AXISBANK,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
AXISBANK,con,C10,Return on capital employed below 10% suggests insufficient returns on invested capital,76
BAJAJ-AUTO,pro,P01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,85
BAJAJ-AUTO,pro,P07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BAJAJ-AUTO,pro,P08,Consistent dividend yield backed by positive free cash flow,74
BAJAJ-AUTO,pro,P11,Profit growth ahead of revenue growth shows improving operating leverage and scale benefits,72
BAJAJ-AUTO,con,C00,Continued monitoring of financial and operating performance is warranted,61
